folder,file,function,cognitive_complexity
rust,bzip2recover.rs.json,readError,0.0
rust,bzip2recover.rs.json,writeError,0.0
rust,bzip2recover.rs.json,mallocFail,0.0
rust,bzip2recover.rs.json,tooManyBlocks,0.0
rust,bzip2recover.rs.json,bsOpenReadStream,1.0
rust,bzip2recover.rs.json,bsOpenWriteStream,1.0
rust,bzip2recover.rs.json,bsPutBit,4.0
rust,bzip2recover.rs.json,bsGetBit,7.0
rust,bzip2recover.rs.json,bsClose,11.0
rust,bzip2recover.rs.json,bsPutUChar,1.0
rust,bzip2recover.rs.json,bsPutUInt32,1.0
rust,bzip2recover.rs.json,endsInBz2,2.0
rust,bzip2recover.rs.json,main_0,77.0
rust,bzip2recover.rs.json,main,1.0
rust,bzlib.rs.json,__isctype,3.0
rust,bzlib.rs.json,isdigit,0.0
rust,bzlib.rs.json,BZ2_bz__AssertH__fail,1.0
rust,bzlib.rs.json,bz_config_ok,3.0
rust,bzlib.rs.json,default_bzalloc,0.0
rust,bzlib.rs.json,default_bzfree,1.0
rust,bzlib.rs.json,prepare_new_block,1.0
rust,bzlib.rs.json,init_RL,0.0
rust,bzlib.rs.json,isempty_RL,3.0
rust,bzlib.rs.json,BZ2_bzCompressInit,17.0
rust,bzlib.rs.json,add_pair_to_block,2.0
rust,bzlib.rs.json,flush_RL,1.0
rust,bzlib.rs.json,copy_input_until_stop,49.0
rust,bzlib.rs.json,copy_output_until_stop,7.0
rust,bzlib.rs.json,handle_compress,22.0
rust,bzlib.rs.json,BZ2_bzCompress,29.0
rust,bzlib.rs.json,BZ2_bzCompressEnd,6.0
rust,bzlib.rs.json,BZ2_bzDecompressInit,9.0
rust,bzlib.rs.json,unRLE_obuf_to_output_FAST,263.0
rust,bzlib.rs.json,BZ2_indexIntoF,3.0
rust,bzlib.rs.json,unRLE_obuf_to_output_SMALL,232.0
rust,bzlib.rs.json,BZ2_bzDecompress,49.0
rust,bzlib.rs.json,BZ2_bzDecompressEnd,6.0
rust,bzlib.rs.json,myfeof,1.0
rust,bzlib.rs.json,BZ2_bzWriteOpen,26.0
rust,bzlib.rs.json,BZ2_bzWrite,54.0
rust,bzlib.rs.json,BZ2_bzWriteClose,0.0
rust,bzlib.rs.json,BZ2_bzWriteClose64,72.0
rust,bzlib.rs.json,BZ2_bzReadOpen,30.0
rust,bzlib.rs.json,BZ2_bzReadClose,13.0
rust,bzlib.rs.json,BZ2_bzRead,75.0
rust,bzlib.rs.json,BZ2_bzReadGetUnused,18.0
rust,bzlib.rs.json,BZ2_bzBuffToBuffCompress,7.0
rust,bzlib.rs.json,BZ2_bzBuffToBuffDecompress,10.0
rust,bzlib.rs.json,BZ2_bzlibVersion,0.0
