folder,file,function,cognitive_complexity
rust,bzlib.rs.json,bzopen_or_bzdopen,30.0
rust,bzlib.rs.json,BZ2_bzopen,0.0
rust,bzlib.rs.json,BZ2_bzdopen,0.0
rust,bzlib.rs.json,BZ2_bzread,4.0
rust,bzlib.rs.json,BZ2_bzwrite,2.0
rust,bzlib.rs.json,BZ2_bzflush,0.0
rust,bzlib.rs.json,BZ2_bzclose,7.0
rust,bzlib.rs.json,BZ2_bzerror,1.0
rust,blocksort.rs.json,fallbackSimpleSort,12.0
rust,blocksort.rs.json,fallbackQSort3,61.0
rust,blocksort.rs.json,fallbackSort,45.0
rust,blocksort.rs.json,mainGtU,31.0
rust,blocksort.rs.json,mainSimpleSort,38.0
rust,blocksort.rs.json,mmed3,4.0
rust,blocksort.rs.json,mainQSort3,93.0
rust,blocksort.rs.json,mainSort,87.0
rust,blocksort.rs.json,BZ2_blockSort,24.0
rust,huffman.rs.json,BZ2_hbMakeCodeLengths,67.0
rust,huffman.rs.json,BZ2_hbAssignCodes,6.0
rust,huffman.rs.json,BZ2_hbCreateDecodeTables,12.0
rust,bzip2.rs.json,isascii,0.0
rust,bzip2.rs.json,__istype,2.0
rust,bzip2.rs.json,isspace,0.0
rust,bzip2.rs.json,uInt64_from_UInt32s,0.0
rust,bzip2.rs.json,uInt64_to_double,1.0
rust,bzip2.rs.json,uInt64_isZero,3.0
rust,bzip2.rs.json,uInt64_qrm10,1.0
rust,bzip2.rs.json,uInt64_toAscii,2.0
rust,bzip2.rs.json,myfeof,1.0
rust,bzip2.rs.json,compressStream,147.0
rust,bzip2.rs.json,uncompressStream,454.0
rust,bzip2.rs.json,testStream,169.0
rust,bzip2.rs.json,setExit,1.0
rust,bzip2.rs.json,cadvise,1.0
rust,bzip2.rs.json,showFileNames,1.0
rust,bzip2.rs.json,cleanUpAndFail,16.0
rust,bzip2.rs.json,panic,0.0
rust,bzip2.rs.json,crcError,0.0
rust,bzip2.rs.json,compressedStreamEOF,1.0
rust,bzip2.rs.json,ioError,0.0
rust,bzip2.rs.json,mySignalCatcher,0.0
rust,bzip2.rs.json,mySIGSEGVorSIGBUScatcher,4.0
rust,bzip2.rs.json,outOfMemory,0.0
rust,bzip2.rs.json,configError,0.0
rust,bzip2.rs.json,pad,2.0
rust,bzip2.rs.json,copyFileName,1.0
rust,bzip2.rs.json,fileExists,1.0
rust,bzip2.rs.json,fopen_output_safely,2.0
rust,bzip2.rs.json,notAStandardFile,2.0
rust,bzip2.rs.json,countHardLinks,1.0
rust,bzip2.rs.json,saveInputFileMetaInfo,1.0
rust,bzip2.rs.json,applySavedTimeInfoToOutputFile,1.0
rust,bzip2.rs.json,applySavedFileAttrToOutputFile,1.0
rust,bzip2.rs.json,containsDubiousChars,0.0
rust,bzip2.rs.json,hasSuffix,2.0
rust,bzip2.rs.json,mapSuffix,1.0
rust,bzip2.rs.json,compress,61.0
rust,bzip2.rs.json,uncompress,79.0
rust,bzip2.rs.json,testf,21.0
rust,bzip2.rs.json,license,0.0
rust,bzip2.rs.json,usage,0.0
rust,bzip2.rs.json,redundant,0.0
rust,bzip2.rs.json,myMalloc,1.0
rust,bzip2.rs.json,mkCell,0.0
rust,bzip2.rs.json,snocString,4.0
rust,bzip2.rs.json,addFlagsFromEnvVar,24.0
rust,bzip2.rs.json,main_0,119.0
rust,bzip2.rs.json,main,1.0
rust,compress.rs.json,BZ2_bsInitWrite,0.0
rust,compress.rs.json,bsFinishWrite,1.0
rust,compress.rs.json,bsW,1.0
rust,compress.rs.json,bsPutUInt32,0.0
rust,compress.rs.json,bsPutUChar,0.0
rust,compress.rs.json,makeMaps_e,3.0
rust,compress.rs.json,generateMTFValues,39.0
rust,compress.rs.json,sendMTFValues,159.0
rust,compress.rs.json,BZ2_compressBlock,10.0
rust,build.rs.json,main,0.0
rust,build.rs.json,main,0.0
rust,decompress.rs.json,makeMaps_d,3.0
rust,decompress.rs.json,BZ2_decompress,1017.0
